year,month,death,wounded,average_daily,average_monthly
1395,all,15932,333071,43.6493150684932,1327.66666666667
1396,all,16201,335995,44.386301369863,1350.08333333333
1397,all,16946,347307,46.427397260274,1412.16666666667
1398,all,17183,367428,47.0767123287671,1431.91666666667
1399,all,15396,276771,42.1808219178082,1283
1400,all,16778,317120,45.9671232876712,1398.16666666667
1401,all,19490,369279,53.3972602739726,1624.16666666667
1402,all,20045,391069,54.9178082191781,1670.41666666667
1403,all,19435,381484,53.2465753424658,1619.58333333333
1394,all,16584,,,
1393,all,16862,,,
1392,all,17994,,,
1391,all,19089,,,
